CSA,Czech Airlines a.s.
2UL,Lineas Aéreas Trans. Brasileira
0FX,Sociedad Aeronautica Medellin
4XC,Loide Aereo Nacional
7PH,Air Outre-Mer
6ZU,Loide Aéreo Nacional
9RY,Trans Australia Airlines
3JD,Societe Alpes Provence
1UQ,Frigorifico Cooperativo Los Andes
5MU,Aero Transportes
3WH,Queen Charlotte Airlines
7OM,Military - Guatemalan Air Force
0GR,Military - U. S. Air Force
9RD,Devlet Hava Yollari
2JI,El Al
6BN,Lineas Aereas Unidas
4LZ,Miami Airlines
8DE,Continental Charters
6OR,Kalinga Airlines
0GW,Aer Lingus
3YA,STAAP
2IN,Military - U.S. Air Force / U.S. Air Force
5AS,Maritime Central Airways
9TX,Société Aérienne de Tr. Tropicaux
7DJ,US Airlines
1VO,Japan Air Lines
9FB,North Continental Airlines (Robin Airlines)
3YF,Fred Olsen Flyveselskap
6QK,Swedish Air Force
5AX,Transportes Areos Nacionales
8SB,Airwork
2KG,Military - Pakistan Air Force
0VT,Phoenix Airlines
4NY,Private - de Havilland Aircraft
2XK,SAM Colombia
6PP,Union Aeromaritime de Transport
9HU,TABSO
8SG,Rutas Aéreas Nacionales SA
1KL,Flying Tiger Line
5CQ,Associated Air Transport
3MD,Lancashire Aircraft Corporation (Skyways)
7EH,Air Outremer
5PU,Autrex
9HZ,Military - Egyptian Air Force
2ZE,Orient Airways
1JQ,Transportes Aéreos Salvador
4BV,Central African Airways
8TA,Caribbean International Airways
6EM,Aerovias Contreras
0WR,Transportes Aéreos Mexicanos
8GE,Resort Airlines
2YI,Compagnie Sila
5QN,British Commonwealth PacifiAirlines
4BA,Aviaco
7TF,Indian Airlines
1LJ,Aviateca
9VW,Syrian Airways
3NB,Ariana Afghan Airlines
1YN,Zantop Air Transport
5QS,Aeronaves de Mexico
8IX,Trans Canada Air Lines / RCAF
7SK,Societe Indochinoise de Raviteillement
0LO,Darbhanga Aviation
4DT,Transportes Aereos Nacionales
2NG,Soc. de Tr. Aériens d'Extrême Orient
6FK,Air Vietnam (South Vietnam)
4QX,Military - U. S. Navy
8IC,TAM (Brazil)
1AH,Northeast Airlines
0KT,Air Laos
3CY,Ceskoslovenské Aerolinie
7UD,Johnson Flying Service
5FP,Trans World Airlines / Castleton Inc.
9XU,Interamericana de Aviacion
7HH,West African Airways
1ZM,Aaxico Airlines
4RQ,Union des Transportes Aeriens
3CD,East African Airways
6UI,Associated Airways
0MN,Union Aéromaritime de Transport
8WZ,Tigres Voladores
2OE,Lineas Areas Unidas
0ZQ,Military - U.S. Air Force / Military - U.S. Air Force
4RV,Union of Burma Airways
7JA,Currey Air Transport
6TN,Societe France Hydro
9LR,PacifiWestern Airlines
3DW,Peninsular
1OJ,Military - US Air Force
5GO,Riddle Airlines
3QA,Cruzeiro Do Sud
7IF,Quebecair
1AK,Spartan Air Services
9LW,Scottish Airlines
2DB,Transport Aerien Intercontinentaux (France)
6VG,Pakistan International Airlines
4FT,Starways
8YX,National Air Operators
6IK,Military - Royal Thai Air Force
0AP,Cordova Airlines
4ST,United Air Lines / Trans World Airlines
2CG,Jordan International Airlines
5VL,Britavia
9NQ,Braathens
7XC,Aerovias Guest
1PH,Empresa Aviacion del Pacifico
